T,time,fs,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
0.0,2026-05-27T11:50:29.013Z,,0.17234208,-0.30159864000000003,9.75168936,-0.28,-3.9200000000000004,-1.12
0.005012035369873047,2026-05-27T11:50:29.018Z,199.51974122348017,0.19627848000000003,-0.32553504000000005,9.75168936,-0.35000000000000003,-3.9200000000000004,-1.12
0.010024070739746094,2026-05-27T11:50:29.023Z,199.51974122348017,0.23936400000000002,-0.33510960000000006,9.789987600000002,-0.35000000000000003,-4.130000000000001,-1.12
0.01503610610961914,2026-05-27T11:50:29.028Z,199.51974122348017,0.16755480000000003,-0.30159864000000003,9.742114800000001,-0.28,-3.9200000000000004,-1.05
0.020047903060913086,2026-05-27T11:50:29.033Z,199.52923267208982,0.16276752000000003,-0.29202408,9.761263920000001,-0.21000000000000002,-3.9200000000000004,-1.1900000000000002
0.025059938430786133,2026-05-27T11:50:29.038Z,199.51974122348017,0.15798024000000002,-0.27287496000000006,9.75168936,-0.21000000000000002,-3.9200000000000004,-1.1900000000000002
0.03007197380065918,2026-05-27T11:50:29.043Z,199.51974122348017,0.18670392000000002,-0.24415128000000003,9.746902080000002,-0.28,-3.8500000000000005,-1.2600000000000002
0.03508400917053223,2026-05-27T11:50:29.048Z,199.51974122348017,0.12446928000000002,-0.26330040000000005,9.770838480000002,-0.28,-3.99,-1.05
0.04009604454040527,2026-05-27T11:50:29.053Z,199.51974122348017,0.12446928000000002,-0.26330040000000005,9.770838480000002,-0.28,-3.99,-1.05
0.04510807991027832,2026-05-27T11:50:29.058Z,199.51974122348017,0.19627848000000003,-0.27766224,9.71339112,-0.35000000000000003,-4.0600000000000005,-1.12
0.05012011528015137,2026-05-27T11:50:29.063Z,199.51974122348017,0.16276752000000003,-0.31117320000000004,9.742114800000001,-0.28,-4.0600000000000005,-1.1900000000000002
0.05513191223144531,2026-05-27T11:50:29.068Z,199.52923267208982,0.19627848000000003,-0.33032232000000006,9.766051200000001,-0.35000000000000003,-3.9200000000000004,-1.12
0.06014394760131836,2026-05-27T11:50:29.073Z,199.51974122348017,0.20106576,-0.29202408,9.684667440000002,-0.21000000000000002,-3.9200000000000004,-1.05
0.0651559829711914,2026-05-27T11:50:29.078Z,199.51974122348017,0.18191664000000002,-0.33032232000000006,9.699029280000001,-0.35000000000000003,-3.99,-1.05
0.07016801834106445,2026-05-27T11:50:29.083Z,199.51974122348017,0.1436184,-0.29202408,9.75168936,-0.35000000000000003,-3.9200000000000004,-1.05
0.07514810562133789,2026-05-27T11:50:29.088Z,200.79969360398314,0.18670392000000002,-0.32074776000000005,9.75647664,-0.42000000000000004,-3.9200000000000004,-1.12
0.08016204833984375,2026-05-27T11:50:29.093Z,199.44384213029005,0.17234208,-0.33510960000000006,9.780413040000001,-0.35000000000000003,-3.7800000000000002,-1.12
0.08517599105834961,2026-05-27T11:50:29.098Z,199.44384213029005,0.18670392000000002,-0.33989688,9.761263920000001,-0.28,-3.99,-1.05
0.09019017219543457,2026-05-27T11:50:29.103Z,199.43435880367076,0.21064032000000002,-0.31596048000000004,9.71339112,-0.14,-3.99,-1.1900000000000002
